label,content
0,손자를 보험대상자로 하고 할아버지를 계약자로 하는 교육보험 가입이 가능한가요?
0,종퇴보험으로 퇴직금 운영시 기업의 자체자금으로 선지급하고...
0,퇴직연금의 경우 근로자에 대한 교육이 중요하다는 데 교육은 누가 어떻게 시키나요?
0,사고보험금 청구 기한은 어떻게 됩니까?
0,확정급여형(DB)과 확정기여형(DC) 제도는 무엇이며 이 둘은 어떻게 다름니까?
0,전자서명 시 오류가 발생하면  어떻게 조치하나요?
0,증권계좌로도 자동이체 신청가능합니까?
0,국내에 거주하는 외국인도 보험가입이 가능합니까?
0,Late Trading이란 무엇입니까?
0,연금으로 받을 경우 어떤 이익이 있나요?
0,보험 효력상실 기간 중 종보험대상자(종피보험자)가 사망해도 부활이 가능합니까?
0,퇴직 후에도 근로자가 IRA에 추가로 부담금을 낼 수 있습니까?
0,현행 퇴직금 제도에서 퇴직연금제도로 전환하면 어떤 점들이 좋아지나요?
0,신탁상품은 중도(해지(해약))가 가능합니까?
1,LG SmartWorld란 무엇인가요.
1,휴대폰에 물기나 이물질이 들어갔어요.
1,휴대폰을 물에 빠뜨렸어요. (침수)
0,보안카드를 분실했습니다. 어떻게 해야 합니까?
0,변액보험 펀드변경을 할때 옵션A와 옵션B가 있는데요  차이점이 어떻게 되나요?
1,Tone + 는 기존 헤드셋과 무엇이 다른가요?
1,전원을 꺼도 날개가 완전히 닫히지 않아요.
1,버튼을 눌러도 동작하지 않아요.(공기청정 좌우바람 먼지상태 습도 등)
1,가스냄새가 나요.
0,적립식 펀드의 자동이체 지정일에 잔액이 없는 경우는 어떻게 되나요?
0,고객사랑서비스는 무엇입니까?
3,렌터카 대여 가능나이가 어떻게 되나요?
3,좌석배정 미리 할수 있나요?
3,비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?
0,고지의무란 무엇인가요?
0,장기주택저당차입금 이자상환액 연말소득공제 요건은 무엇인가요?
1,2in1 에어컨 초기 사용시 실외기 소음이 커진 것 같아요.
3,전화로 카드결제를 하고 싶은데 가능한가요?
3,단독행사로 진행도 가능한가요?
3,[여권/마일리지/체류지정보] 예약시 여권 유효 기간은 얼마나 남아있어야 하나요?
0,ELS펀드란 무엇입니까?
0,회사 사정상 임의해지는 가능합니까?
1,F1  F2  F3  F4  F5 표시가 떠요.
3,같은 호텔 같은 룸타입이 2개 이상 검색되는 이유가 궁금합니다
1,오레오 OS 변경 점이 궁금해요.
3,[예약취소 및 환불요청] 항공사에서는 수수료 없이 환불이 가능한데  모두투어는 가능한가요
1,V35  G7의 DTS:X 3D 입체음향 기능은 무엇인가요.
0,퇴직연금제도에서도 중간정산제도가 있습니까? 근로자가 목돈이 필요하면 어떻게합니까?
0,로그인 비밀번호와 거래 비밀번호는 어떻게 다릅니까?
0,자필서명을 안하면 어떻게 되나요?
0,운용방법(펀드)의 변경시 불이익은 없습니까?
3,항공사 마일리지를 사용하여 발권이 가능한가요?
3,학생요금의 적용 기준은 무엇이고 나이 제한이 따로 있나요?
1,갑자기 에어컨에서 불쾌한 냄새가 나요.
0,교보다이렉트는 누구에게 적합한가요?
3,애완동물 데리고 비행기 탑승 가능한가요?
0,평균분할투자란 무엇입니까?
0,비밀번호(생년월일) 입력 후 화면이 정지된 상태로 멈춰있습니다.
1,U+ 해외 로밍 서비스는 무엇인가요?
1,음성 녹음의 추가된 기능
3,하프보드 Vs. 풀보드(Half Board vs. Full Board)
1,휴대폰에 LG 캠 플러스를 어떻게 끼우고 뺄 수 있나요?
1,난방이 됐다 안됐다 해요.
3,항공마일리지는 있는데 현지행사만 같이 할수있나요?
3,[투어마일리지][사용문의] 항공권에 투어마일리지를 사용하고 싶은데요?
1,비가 오면 에어컨에서 물이 새요.
3,안전결제(ISP)/안심클릭 서비스 신청은 어떻게 하나요?
1,360 CAM 휴대폰과 연결하여 사용하기
3,국내 이동전화를 해외에서 쓸 수 있는 방법은?
0,다이렉트도 평생든든 서비스를 해주시나요?
1,메시지 문자크기 조절을 어떻게 하나요.
3,요금미정으로 보이는 숙소는 접수가 불가능 한가요?
2,상품을 교환하고 싶어요! 어떻게 하면 되나요?
2,배송중인 상품의 위치는 어떻게 확인하나요?
0,종퇴보험에서 가입비율 100%로 적립하고 있는데 퇴직보험...
1,모바일카드를 발급 받고 싶습니다.
0,계약체결시 직업란에 위험직종이 아닌 것으로 했을 경우 보장은?
0,확정급여형의 실시가 더 적합한 사업장 또는 근로자는?
1,G6 화면 꺼진 상태에서 얼굴 인식으로 잠금 해제가 안돼요.
2,휴일에도 상품을 받을수 있나요?
0,불완전판매란 무엇입니까?
0,확정기여형에 있어서 운용방법의 변경 시 불이익은 없나요?
1,상하/ 좌우 풍향 조절이 안돼요.
2,휴일에도 상품을 받을수 있나요?
1,배관을 재사용 할 수 있나요.
0,한 기업이 DB/DC/퇴직금제도를 동시에 도입할 수 있습니까?
2,착불배송 상품의 배송비를 주문할 때 지불하고 싶어요!
1,에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.
2,상품을 직접 방문하여 수령할 수는 없나요?
1,휴대폰이 느려지거나 멈추는 경우 어떻게 하나요.
2,롯데닷컴 배송흐름은 어떻게 되나요?
2,판매자가 상품 상태 확인 후 반품/교환 가능 여부를 알려주겠다고 하는데 왜 그런가요?
2,롯데닷컴 배송흐름은 어떻게 되나요?
1,LG페이 교통카드 등록 시 ' LG페이 교통카드를 주 교통카드로 설정하려면 먼저 삼성페이 교통카드를 삭제해 주세요' 라고 나옵니다.
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,화면 밝기를 100% 로 해도 화면이 어두워요.
3,여행시 주의해야 할 점은 어떤 것이 있나요 ?
0,MY삼성생명 이용절차 안내 입니다.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
0,고지의무 위반에 따른 안내  입니다.
3,현지 호텔에서 결제 해도 되나요?
0,DC 부담금은 얼마고 어떻게 계산합니까?
3,항공권 예약 시 서비스오류({0}) 라는 멘트가 뜨면서 예약이 안되요!!
3,[유럽]기차 여행이 왜 좋은가요?
0,보험관련 안내장 우편물 수령지를 변경하고 싶습니다.
0,변액보험 펀드변경은 무엇인가요?
0,자동이체 결제계좌 변경이 되지 않습니다.
1,V35  G7 카메라 촬영(셔터) 속도가 느려요.
0,보험료 자동이체시 합산이체가 뭐예요?
0,보안프로그램 설치시 파일복사 실패인 경우에는?
0,금융거래회원으로 가입 시 공인인증서가 꼭 필요합니까?
3,[기타] 항공권의 표시된 두번째 여정 먼저 사용할 수 있나요?
1,Smart ThinQ 연결이 안돼요. 등록실패가 떠요.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,LG Hi-Fi Plus는 무엇인가요?
0,기준가격  좌수 등 용어는 무슨 뜻인가요?
3,차량 인수방법
3,유아 나이 기준은 어떻게 적용 되나요?
1,[난방] 가동 중 멈추고 예열 또는 제상 표시가 나타나요.
1,스마트 듀얼 맞춤냉방 인체감지 기능이 안돼요.
1,휴대폰에서도 LG 360 VR 콘텐츠를 볼 수 있나요?
1,LG Hi-Fi Plus에 이어폰 연결 후 동작은 어떻게 되나요?
0,퇴직연금제도가 새로 도입되면  기존의 퇴직보험은 어떻게 되나요?
0,홈페이지를 통한 대출계약 변경신청 이란 ?
3,알라카르트(A La Carte)
1,전원을 꺼도 날개가 완전히 닫히지 않아요.
3,기차에는 장애인을 위한 시설이 준비되어 있나요?
3,TAX란 무엇인가요?
3,예약취소를 했는데 결제 취소는 어떻게 되나요?
2,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
0,기지급받은 보험금 내역을 피보험자(보험대상자)에게는 안내가 불가한 이유가 무엇입니까?
0,MY삼성생명 접속 중 보안프로그램 설치에서 화면이 멈춰있습니다.
0,「나의 계약」에서 원하는 서비스(메뉴)를 찾는 방법
3,렌터카 예약시 특정차량으로 선택할 수 있나요?
1,숲속향 /  아로마향 교체 방법을 알려주세요.
1,에어컨에 코드가 없어요. 코드가 잘렸어요.
2,상품을 직접 방문하여 수령할 수는 없나요?
3,항공편 예약은 언제부터 가능한가요? 예약 후 항공권 구입은 언제까지 해야 하나요?
3,[일본][규슈] JR 레일패스를 일본에서 구입할수 있나요?
0,해지시 납입보험료보다 해지환급금이 적은 이유는 무엇입니까?
1,LG 캠 플러스 버튼의 기능은 무엇인가요?
2,상품이 회수된 경우 꼭 운송장(송장번호)을 보관하고 있어야 하나요?
3,여권번호를 모르는데 오늘 결제마감시한이예요.어떻게 하죠?
2,배송중인 상품의 위치는 어떻게 확인하나요?
3,비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,이태리 투어리스트 택스 및 유럽 시티택스가 무엇인가요?
3,해외여행자 보험이란??
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
2,배송중인 상품의 위치는 어떻게 확인하나요?
1,네트워크 신호가 약할 때에는 어떻게 조치할 수 있나요.
1,표시창에 CH05가 떠요
2,배송중인 상품의 위치는 어떻게 확인하나요?
3,중복(이중) 예약건은 취소 해야 하나요?
2,주문한 상품은 언제쯤 받을 수 있나요?
2,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
0,홈페이지 회원가입시 아이디와 비밀번호를 만들지 않았습니다 어떻게 로그인해야 해야합니까?
3,패키지여행이란 무엇을 말하는 건가요?
3,대기예약이라고 하면 예약이 어떻게 된 건가요?
2,주문한 상품은 언제쯤 받을 수 있나요?
0,대출금리에는 어떤 것들이 있습니까?
1,OTG 기능에 대해 알고 싶어요.
1,Always-on display를 사용하면 배터리가 얼마나 더 빨리 소모되나요?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
2,휴일에도 상품을 받을수 있나요?
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,화면밝기 조절했는데도 화면이 어두워요.
0,IRA기업형에서도 과거근무기간 전체 또는 일부에 대한 소급적용이 가능합니까?
1,스탠드 에어컨 스마트 진단 사용 방법을 알려주세요.
1,[G6] 얼굴 인식 기능은 어떻게 사용하나요.
3,[공항/기내서비스][기타]항공권을 수령하지 못했는데 면세점 이용이 불가한가요?
1,G7의 화면 밝기를 100%보다 더 밝게 설정하고 싶어요.
0,준비금비례사업비를 부가하는 이유는?
3,비자 대행해 줄 때 수수료를 지불해야 하나요?
3,카드로 결제 했는데  현금으로 환불 받을 수 있나요?
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
0,보장성 보험으로 납입이 완료되면 기납입보험료를 모두 받을수 있습니까?
1,냉기가 나왔다 안 나왔다 해요.
0,보험약관은 어디서 볼 수 있나요?
1,G5 카메라 - Auto Shot (오토 셀피)
2,배송이 지연되는 사유가 무엇인가요?
3,호텔 예약시 함께 가는 일행 정보 모두 입력 해야 할까요?
2,롯데닷컴 배송흐름은 어떻게 되나요?
3,항공권 결제시한 연장이 가능한가요?
3,예약한 호텔 부대시설이 어떻게 되나요?
0,전화 상담 가입과 일반 설계사(컨설턴트)를 통한 가입시의 차이점은?
2,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
3,[예약취소 및 환불요청] 예약한 항공권을 변경하거나 취소할 수 있나요?
1,LG Bridge(LG 브릿지) 와 휴대폰 연결하여 백업 복원은 어떻게 하나요.
3,공항미팅시간에 맞춰갈 수 없을 것 같은데 어떤 조치를 취해야 하나요?
3,24시간이내 회신이 무슨뜻인가요?
1,제상 또는 예열이 뜨면서 난방이 안돼요.
1,[난방] 실외기에서 물이 떨어져요.연기가 올라와요.
0,5인 미만 사업장에는 언제부터 퇴직연금제도가 적용됩니까?
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,LED 램프가 1번 6번 간격으로 깜박거려요.(점검코드 CH61)
1,리모컨이 안돼요.
0,퇴직연금제도가 새로 도입되면  기존의 퇴직보험은 어떻게 되나요?
1,메시지 알림 설정은 어떻게 하나요.
3,취소마감일이 지난 예약이라 그런지 예약 과 동시에 결제를 하라고 합니다. 결제 없이 예약만 불가능한가요?
0,금융정보보호 신청건인데 자동이체 신청은 어떻게 합니까?
1,배수펌프가 작동하지 않아요.
1,화면 터치가 안되시나요?
1,(난방) 실외기에 성에가 껴요.
3,출발일시 & 귀국일시 확인해주세요
2,롯데닷컴 배송흐름은 어떻게 되나요?
0,계약자 배당금 지급 안내 입니다.
1,카메라 전문가 모드의 ISO(감도)는 어떻게 동작 하나요?
3,신용 불량자도 해외여행을 할 수 있나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,결제시한이 예고 없이 변경될 수 있나요?
2,배송이 지연되는 사유가 무엇인가요?
0,Late Trading이란 무엇입니까?
0,해지(효력상실)되었고  해약환급금이 없습니다. 꼭 방문해서 해약 해야 하나요?
0,청약시 자필서명을 하지 않았습니다. 보험보장이 가능합니까?
0,실손보험에서 의사소견으로 신의료기술인 고가의 치료를 받았습니다. 보장이 되나요?
3,귀국일을 지정하지 않고 예약이 가능한가요?
0,홈페이지를 통한 신용대출 신청절차를 알고 싶습니다.
0,보험료 납입(잔액)증명서 신청방법을 알려주세요
3,경로 할인 요금이 있나요?
1,벽걸이  에어컨  바람 소리가  커요. 소음이 커졌어요.
3,고객 결제시한이 변경될수 있나요?
1,[가정용스탠드에어컨] 먼지 및 냄새 센서 위치
3,동일한 날짜 동일한 호텔 검색시 요금 변동이 생기는 이유를 알고 싶습니다
0,지문인증 서비스는 안전한가요?
2,주문한 상품은 언제쯤 받을 수 있나요?
3,[티켓(e-ticket)출력] 항공권은 어떻게 확인하나요?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,에어컨 설치 및 철거 신청 비용 확인은 고객지원-설치/철거 예약을 선택해 주세요.
1,휴대폰에 연결된 다른 기기를 휴대폰으로 충전할 수 있나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
2,주문한 상품은 언제쯤 받을 수 있나요?
1,리모컨 화면이 꺼져있어요.
2,휴일에도 상품을 받을수 있나요?
3,수하물은 몇 kg까지 무료로 제공되나요? 따로 비용이 발생하나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,[유럽] 배낭여행 완전정복하기!
1,실내기가 흔들리는데 어떻게 고정하나요.
1,리모컨이 됐다 안됐다 해요.
1,에어컨 가동 중 떨리는 소음이 나요.
3,[유럽] 야간열차 어떻게 이용해야 하나요?
1,에어컨 가스는 얼마 만에 한 번씩 주입하나요. 가스 넣을 때가 된 것 같아요.
0,퇴직연금제도 도입 후  다른 종류의 제도로 변경할 수 있나요?
2,롯데닷컴 배송흐름은 어떻게 되나요?
0,퇴직연금에도 퇴직금 중간정산제와 같이 근로자가 목돈을 필요로 할 때 사용할 수 있는 제도가 있나요?
1,해외 휴대폰을 국내 이동통신사의  3G 네트워크 사용시 설정방법 확인하세요.
1,휴대폰을 LG 프렌즈 카메라와 연결하여 동시에 촬영할 수 있나요?
0,확정급여형(DB)제도와 확정기여형(DC)제도 중 어느 제도가 더 유리한가요?
3,알짜항공권 출발 및 TAX미확정이면 어떻게 하나요?
2,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
2,배송중인 상품의 위치는 어떻게 확인하나요?
2,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
1,K10(LG-F670) 5GHz Wi - Fi 접속 안됨
1,앱을 설치한 후 앱이 멈추는 증상이 발생해요.
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,Family Care Service가 무엇인가요?
0,변액보험에 대해서 자세히 설명해주세요
3,임산부를 위한 허니문 추천 여행지
3,당일 예약이 가능한가요?
1,앵글 및 베란다 새시가 있다면 앵글이나 새시를 손으로 살짝 잡아 보시겠어요?
3,학생요금 적용 시 구비서류는 무엇인가요? 혹 나이 제한도 있나요?
3,항공권 발권 후 돌아오는 여정 먼저 사용 할 수 있나요?
0,MY삼성생명에서 지급청구 후 청구서를 꼭 팩스 전송해야합니까?
0,퇴직보험과 종퇴보험의 금리운용방식은 어떻게 되나요?
3,공동운항이란??
3,국내숙박은 하나투어 마일리지 적립포인트가 상품금액에 얼마 적립 인가요?
3,항공권 예약을 취소하고 싶은데 어떻게 취소하면 되죠?
0,변액보험 펀드를 운용하는 운용사를 알고 싶습니다.
1,휴대폰 화면을 케이블 없이 TV에서 볼 수 있나요.
3,[티켓(e-ticket)출력] 공항에는 무엇을 가지고 가면 되나요?
0,확정급여형(DB)제도와 퇴직보험은 유사해 보입니다. 차이점으로는 어떤 것이 있을까요?
3,온라인상으로는 좌석이 보이는데 예약완료 시 왜 대기인가요?
1,Wi-Fi 연결은 어떻게 하나요?
0,중간정산 실시예정인 단체가 퇴직보험에 가입하면 무엇이 좋습니까?
0,뺑소니 또는 무보험차량에 의해 사망했을 경우 필요서류는 무엇인지요?
3,[지중해&유럽] 한국 음식을 가져가도 되나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,공항에는 무엇을 가지고 가면 되나요?
1,전원이 저절로 꺼져요.
2,주문한 상품은 언제쯤 받을 수 있나요?
1,바람이 나오지 않아요.
3,신혼여행상품 예약은 언제쯤부터 해야하나요?
0,「나의 계약」 비밀번호 확인 방법을 알려주세요
3,평소 성지순례 지역에 관심이 많았는데 종교가 없는 사람도 예약이 가능할까요?
2,택배사에서 상품을 분실했다고 합니다. 어떻게 해야 하나요?
3,패키지 여행 중 쇼핑한 물품을 환불하고 싶습니다.
0,퇴직보험청구서에 자필서명을 꼭 해야 합니까?
3,대기예약된 경우 결제는 가능한가요? 또한 확정은 언제 되나요?
2,주문한 상품은 언제쯤 받을 수 있나요?
0,기준가격  좌수 등 용어는 무슨 뜻인가요?
3,수하물 분실 시 어떻게 해야 하나요?
1,스마트 알림이 기능을 알려 주세요.
2,개인정보는 안전하게 보호 받고 있나요?
3,예약신청시 방 지정을 미리 할 수 있나요?
0,지난달과 이번달 이자가 왜 틀리나요?(추가대출고객 중도이자상환고객 CD/ATM 이용고객 등)
1,스탠드 에어컨 사용시 “득득득  뚝뚝” 소음이 나요.
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
2,구매확정이란 무엇인가요?
0,현행 퇴직금제도는 없어집니까?
1,LG 캠 플러스는 다운받은 카메라 앱에서 사용할 수 있나요?
1,상하 / 좌우 날개 조절이 안돼요.
3,[이름변경] 예약시 영문이름이 여권과 달라도 상관없나요?
3,상품찜은 어떻게 사용하나요?
1,에어컨 가동 중 부딪히는 소음이 나요.
0,대출현황 및 이자납입일 등은 어떻게 확인합니까?
0,IRA 개인형에 가입하면 55세 이전에 계약해지(해약)도 가능합니까?
3,예약한 호텔 무선인터넷 가능한가요?
2,롯데닷컴 배송흐름은 어떻게 되나요?
0,퇴직연금제도 시행하면 이전에 근무한 기간은 어떻게 됩니까?
1,Smart ThinQ 연결이 안돼요. 등록실패가 떠요.
1,SD카드에 자료 이동하는 방법
0,DC/IRA 가입자 입니다. 보안카드 비밀번호 5회 오류로 사용이 중지되었습니다. 보안카드 재발급은 어떻게 합니까?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,전화나 메시지 수신 시 플래시가 깜빡입니다.
1,오레오 버전에서 앱 다운로드 후 홈화면에 앱 아이콘이 안보여요.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
3,항공사 마일리지 적립위한 회원번호 등록해주세요?
2,주문한 상품은 언제쯤 받을 수 있나요?
1,표시창에 바람개비 표시가 떠요. 실외기 표시가 떠요.
2,배송 받은 상품이 파손되었을 경우 어떻게 해야 하나요?
0,보안메일 열람시 '컴퓨터에 설치된 ActiveX 컨트롤을 실행하는 것을 허용하지 않습니다.'란 메시지가 보입니다.(보안메일 컨트롤을 실행할 수 없는 경우)
1,외장 메모리를 장착했는지 확인해 보셨나요?
2,매킨토시 사용자는 안전결제(ISP)서비스를 이용할 수 없나요?
1,난방 선택이 안돼요.
2,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
0,사고보험금 지급이 지연될 경우 어떻게 해야 하나요?
2,배송이 지연되는 사유가 무엇인가요?
3,호텔 체크인 시 디파짓(보증금) 지불해야 할까요?
2,상품을 직접 방문하여 수령할 수는 없나요?
1,휴대폰 충전이 안됩니다.
3,여행 중 질병 또는 부상 발생 시 병원 이용이 가능한가요? 비용은 어떻게 되죠?
3,세미룸은 무엇인가요?
3,항공사 예약번호 확인해주세요?
0,확정기여형의 실시가 더 적합한 사업장 또는 근로자는?
1,휴대폰의 데이터가 삭제되었나요.
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,대기 중 전원이 꺼져요. 어떻게 해야 하나요.
2,교환을 신청하면 언제쯤 새 상품을 받아볼 수 있나요?
0,연금은 몇 년간 받을 수 있나요?
1,V35 G7 게임 중에는 불필요한 알림을 받고 싶지 않아요.
2,상품을 직접 방문하여 수령할 수는 없나요?
2,배송이 지연되는 사유가 무엇인가요?
0,결제일에 보험료를 납부하지 않으면 해지(실효) 되는 건가요?
3,환전은 어떻게 해야하나요?
0,확정급여형 제도와 확정기여형 제도는 무엇이며 이 둘은 어떻게 틀립니까?
3,항공권 예약을 했는데 다른 사람 이름으로 변경 가능한가요?
1,실내기 LED 램프가 깜박 거려요.
3,두 개의 신용카드로 결제 할수 있나요?
3,해외항공권 예약시 법인카드 결제는 어떻게 하나요?
3,야간열차의 경우 어떤 객실이 제공되나요?
1,제품 배터리 소모를 최소화할 수 있는 방법
0,삼성생명 계약이 있어야만 회원가입을 할 수 있나요?
